Name,FullName,Age,Height,Weight,Nationality,Overall,Positions,PreferredFoot,IntReputation,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating
M. Caqueret,Maxence Caqueret,22,174,63,France,79,"CDM,CM",Right,2,3,3,High,High,73,58,73,81,75,68,59,55,48,81,49,80,66,52,77,80,75,71,86,78,84,63,42,85,56,59,83,80,69,79,53,78,75,81,71,8,5,12,5,15,68,73,73,73,73,73,78,77,80,77,78,80,78,77,74,77,18
B. Dia,Boulaye Dia,25,180,75,Senegal,79,"ST,RW",Right,1,3,3,High,Medium,83,78,62,76,27,76,50,82,75,74,71,78,56,49,54,78,80,86,68,76,67,79,76,73,83,69,62,22,80,65,77,63,28,17,14,11,10,15,14,10,81,75,77,77,77,75,76,75,68,75,54,53,54,51,48,51,21
M. Lanzini,Manuel Lanzini,29,167,59,Argentina,79,"CAM,CM",Right,2,3,4,Medium,Medium,69,73,79,82,41,55,75,70,52,82,65,82,76,76,78,84,76,64,81,74,89,76,76,71,43,76,62,30,73,80,77,80,30,52,54,14,9,6,7,15,73,77,77,77,77,77,79,79,77,79,65,63,65,62,53,62,20
Guaita,Vicente Guaita Panadero,35,190,80,Spain,79,GK,Right,2,3,1,Medium,Medium,80,77,78,81,51,77,34,11,20,44,13,16,32,20,36,24,51,52,63,74,48,59,68,41,62,15,24,27,13,54,29,62,23,15,17,80,77,78,77,81,34,33,33,33,33,33,37,37,38,37,36,36,36,35,33,35,79
A. Talavera,Alfredo Talavera,39,186,85,Mexico,79,GK,Right,1,4,1,Medium,Medium,80,82,68,80,58,78,15,13,14,35,13,10,15,14,35,21,58,58,57,70,47,51,77,36,82,13,38,24,14,50,44,60,26,13,14,80,82,68,78,80,33,29,30,30,30,29,34,33,34,33,32,35,32,32,34,32,79
R. Bentancur,Rodrigo Bentancur,25,187,73,Uruguay,79,CM,Right,2,4,4,Medium,Medium,67,62,79,80,78,77,76,55,62,83,71,82,71,68,81,83,66,68,70,77,74,69,73,86,72,65,78,78,64,78,64,81,79,81,78,8,7,14,14,12,71,74,73,73,73,74,78,78,81,78,81,82,81,80,78,80,20
G. Montiel,Gonzalo Montiel,25,175,70,Argentina,79,"RB,RWB",Right,1,3,3,High,Medium,83,60,70,75,75,81,74,56,71,74,41,73,59,39,66,74,84,83,82,76,75,65,80,93,72,59,87,78,77,70,75,75,76,75,74,6,10,11,5,6,72,73,72,72,72,73,74,77,75,77,80,78,80,79,78,79,17
L. Blas,Ludovic Blas,24,180,70,France,79,"CAM,RM,ST",Left,2,2,4,High,Medium,73,76,77,82,58,64,73,72,58,80,77,85,77,69,75,82,78,69,79,73,76,80,66,73,63,83,55,66,74,78,74,84,47,64,59,12,9,14,14,15,76,78,78,78,78,78,81,79,79,79,72,71,72,70,64,70,21
Matheus Reis,Matheus Reis de Lima,27,184,80,Brazil,79,"CB,LB,LWB",Left,1,2,3,Medium,High,73,53,67,74,79,82,74,50,70,73,45,74,69,47,58,75,72,74,72,76,59,60,81,82,83,51,82,79,62,60,50,76,80,82,78,6,14,10,7,14,68,69,67,67,67,69,69,72,71,72,79,78,79,79,81,79,19
Luimo Boas Santos,Luan Vágner Boas Macedo,22,176,73,Brazil,79,ST,Right,1,4,4,High,Medium,83,79,65,81,28,64,42,81,76,74,76,82,79,60,56,81,86,80,82,85,73,75,87,79,63,82,43,20,82,75,74,73,27,20,19,9,12,8,10,9,79,77,79,79,79,77,79,77,72,77,55,53,55,52,46,52,20
Gabri Prestão,Bernard Gabriel Prestão Chaves,30,186,80,Brazil,79,GK,Right,1,3,1,Medium,Medium,81,75,71,82,60,77,8,9,7,11,8,18,12,13,12,20,58,62,66,76,43,53,60,23,60,12,35,12,5,60,15,64,22,9,16,81,75,71,77,82,29,28,29,29,29,28,31,29,27,29,26,26,26,27,27,27,79
Melvin Parrela,Melvin Luan Parrela Porfírio,22,188,88,Brazil,79,CDM,Right,1,3,2,Medium,Medium,71,70,70,72,80,83,52,68,83,78,67,72,64,68,72,74,62,78,67,75,69,75,71,87,82,70,84,72,67,72,72,76,82,84,77,15,7,16,9,8,75,70,72,72,72,70,74,73,77,73,76,79,76,77,79,77,19
Jorge Andrão,Everton Jorge Andrade Zanon,26,177,75,Brazil,79,"CDM,CM",Right,1,4,2,High,High,67,62,74,75,78,76,75,58,59,78,58,75,48,73,75,77,68,66,76,78,71,72,71,89,68,64,81,79,54,73,61,68,80,81,77,9,9,14,15,8,68,71,69,69,69,71,74,75,77,75,79,79,79,79,78,79,20
Adnan Vidual,Adnan Claudiano Vidual Machado,30,175,70,Brazil,79,RB,Right,1,3,2,Medium,Medium,83,52,70,71,76,71,78,47,71,75,49,68,56,58,63,74,85,82,73,76,66,57,57,81,71,54,62,74,66,66,55,67,75,79,74,9,10,6,6,7,67,70,68,68,68,70,71,74,72,74,79,75,79,79,75,79,17
Diego Essler,Ronaldo Diego Essler Domingues,22,168,65,Brazil,79,"LB,LM",Left,1,3,4,High,Medium,89,58,70,77,74,59,78,45,60,76,55,76,54,49,59,74,90,89,87,80,90,78,67,76,44,68,73,75,69,68,49,76,75,77,76,13,13,16,8,9,69,74,72,72,72,74,74,76,73,76,79,75,79,79,73,79,21
Emelvinson,Emelvin William Anjos Rochedo,34,190,85,Brazil,79,GK,Right,1,2,1,Medium,Medium,79,75,77,74,41,83,10,8,11,18,8,9,9,18,16,21,41,42,34,82,41,58,67,29,79,7,34,23,20,50,14,53,20,17,13,79,75,77,83,74,31,25,28,28,28,25,29,28,29,28,28,30,28,28,32,28,79
E. Ávila,Ezequiel Ávila,28,172,81,Argentina,79,"ST,RM",Right,1,5,3,High,High,80,80,65,78,44,83,59,80,74,71,79,79,58,57,62,77,75,84,72,78,86,85,73,76,86,76,89,38,77,68,72,72,38,46,41,11,6,6,10,14,79,75,77,77,77,75,77,76,72,76,63,63,63,61,61,61,19
O. Zinchenko,Oleksandr Zinchenko,25,175,64,Ukraine,79,LB,Left,2,3,3,High,Medium,68,65,80,80,77,69,81,58,70,81,61,80,81,76,78,82,75,62,78,78,78,77,72,75,63,71,74,77,75,78,59,80,78,78,76,15,11,13,11,11,74,76,75,75,75,76,79,79,80,79,79,80,79,79,77,79,21
E. Konsa,Ezri Konsa,24,183,77,England,79,CB,Right,2,3,2,Medium,Medium,78,39,62,71,80,76,51,34,78,74,35,70,37,38,72,74,72,82,63,80,69,58,78,72,78,32,75,79,50,58,38,79,83,80,79,14,8,11,13,9,63,63,63,63,63,63,66,68,70,68,76,78,76,78,81,78,21
A. Rossi,Agustín Rossi,26,195,95,Argentina,79,GK,Right,1,2,1,Medium,Medium,80,76,72,80,41,79,17,14,19,35,17,21,29,21,33,26,39,43,35,79,37,54,62,35,76,19,24,25,16,52,23,53,27,21,17,80,76,72,79,80,34,30,33,33,33,30,36,34,37,34,33,36,33,32,35,32,80
D. Sánchez,Davinson Sánchez,26,187,81,Colombia,79,CB,Right,2,2,2,Medium,High,75,47,55,66,79,79,36,44,78,73,32,62,31,27,67,70,68,81,61,78,58,66,76,68,83,44,85,80,34,48,44,77,78,79,84,9,7,10,6,15,63,59,60,60,60,59,62,63,66,63,73,77,73,75,80,75,19
M. Cash,Matty Cash,24,185,74,Poland,79,"RB,RWB",Right,2,2,3,High,Medium,80,67,71,75,74,76,77,67,49,73,48,75,66,48,71,74,79,81,78,78,74,77,77,87,68,64,82,76,71,67,44,72,77,77,78,15,16,13,13,8,72,74,73,73,73,74,74,77,75,77,80,78,80,79,75,79,22
B. Pavard,Benjamin Pavard,26,186,81,France,79,"RB,CB",Right,3,3,3,Medium,High,66,55,72,71,81,78,76,43,84,77,73,68,63,51,74,75,68,65,66,79,66,75,86,78,78,56,74,80,58,66,51,77,78,85,78,9,7,15,7,15,70,67,67,67,67,67,71,73,75,73,80,81,80,80,81,80,20
Pablo Fornals,Pablo Fornals Malla,26,178,67,Spain,79,"CAM,LM",Right,2,3,4,High,High,67,74,79,79,69,71,77,72,50,81,72,79,71,70,78,83,68,66,76,75,75,77,50,84,67,78,71,71,76,80,55,77,70,72,71,9,11,12,7,15,75,77,76,76,76,77,80,79,81,79,77,78,77,75,71,75,20
N. Mukiele,Nordi Mukiele,24,187,84,France,79,"RWB,CB",Right,2,3,3,Medium,High,78,49,68,72,81,80,72,40,73,72,39,72,69,33,70,74,77,79,67,73,65,67,90,79,79,52,83,81,60,64,45,72,80,83,81,10,7,14,11,15,66,67,66,66,66,67,69,72,72,72,79,79,79,80,81,80,20
N. Pépé,Nicolas Pépé,27,183,73,Côte d'Ivoire,79,RM,Left,2,2,4,High,Medium,88,77,74,82,36,62,76,76,57,75,70,85,81,79,66,81,87,88,86,74,75,80,66,66,68,76,43,33,77,74,85,75,36,34,30,11,14,11,6,8,78,79,79,79,79,79,79,79,73,79,62,58,62,59,50,59,19
A. Golovin,Alexandr Golovin,26,180,69,Russia,79,"LM,RM,CAM",Right,3,4,4,High,High,77,72,78,82,60,66,75,70,42,79,70,83,80,79,74,82,76,78,86,77,77,78,65,80,56,75,76,71,76,79,52,80,45,72,66,12,14,14,10,16,75,78,77,77,77,78,80,80,80,80,76,75,76,74,67,74,23
David García,David García Zubiria,28,185,72,Spain,79,CB,Right,1,3,2,Medium,Medium,61,37,65,65,80,75,61,35,85,80,37,60,40,38,72,77,60,61,45,75,57,47,90,69,76,25,78,79,51,52,44,67,78,81,82,11,16,7,7,8,61,60,60,60,60,60,63,66,70,66,75,78,75,77,81,77,19
E. Skhiri,Ellyes Skhiri,27,185,74,Tunisia,79,"CDM,CM",Right,2,3,3,Medium,High,68,72,71,75,79,75,67,73,75,77,60,74,72,55,71,77,65,70,74,78,64,75,76,91,67,72,77,85,68,67,58,75,80,77,73,15,14,8,14,14,75,72,73,73,73,72,75,75,77,75,79,80,79,79,79,79,23
A. Marušić,Adam Marušić,29,185,85,Montenegro,79,"LB,RB",Right,2,4,3,Low,High,84,66,67,74,75,79,76,56,76,71,68,75,76,54,55,76,80,88,64,76,77,79,81,82,79,77,74,74,69,60,58,69,74,75,75,8,9,7,10,10,74,72,72,72,72,72,72,75,72,75,78,74,78,79,77,79,18
W. Weghorst,Wout Weghorst,29,197,84,Netherlands,79,ST,Right,2,3,2,High,High,60,77,60,69,52,86,42,78,90,75,80,65,40,48,51,79,56,63,62,81,42,84,79,84,89,70,85,34,80,67,71,81,44,63,38,11,9,14,16,12,79,69,74,74,74,69,74,70,71,70,61,65,61,60,66,60,22
J. Omlin,Jonas Omlin,28,189,80,Switzerland,79,GK,Right,1,4,1,Medium,Medium,80,75,73,82,52,76,24,17,24,45,15,27,21,16,35,31,52,51,32,74,51,55,75,35,72,18,22,25,15,48,27,55,20,21,24,80,75,73,76,82,37,34,36,36,36,34,39,38,39,38,36,37,36,36,36,36,80
J. Weigl,Julian Weigl,26,187,80,Germany,79,"CM,CDM",Right,2,3,3,Low,Medium,59,64,75,77,79,75,59,65,65,84,57,76,63,46,83,80,67,52,76,82,65,68,68,85,68,61,83,80,69,79,52,83,81,81,80,6,14,16,11,7,72,72,73,73,73,72,78,76,80,76,78,80,78,78,79,78,20
D. van de Beek,Donny van de Beek,25,184,74,Netherlands,79,"CM,CDM,CAM",Right,3,3,3,High,Medium,67,77,76,78,72,75,65,75,69,80,80,76,78,65,78,84,67,67,75,77,69,82,70,78,74,77,76,72,78,79,61,84,72,72,71,7,12,8,10,14,79,76,77,77,77,76,81,79,81,79,76,79,76,76,76,76,21
D. Malen,Donyell Malen,23,178,77,Netherlands,79,"ST,LM",Right,2,4,4,Medium,Medium,88,78,72,83,35,73,71,79,69,75,75,84,76,61,64,83,90,86,86,80,84,85,77,78,74,72,62,31,79,77,74,77,29,33,35,7,9,9,10,14,81,80,81,81,81,80,81,81,74,81,63,59,63,60,53,60,20
Rafa Mir,Rafael Mir Vicente,25,191,86,Spain,79,ST,Right,1,3,3,High,Low,78,81,67,71,45,78,69,84,78,74,80,70,64,61,52,75,72,82,62,74,65,83,78,71,85,75,69,39,80,64,75,70,42,43,35,12,11,15,10,6,81,74,76,76,76,74,74,74,69,74,62,60,62,60,59,60,19
B. White,Benjamin White,24,185,77,England,79,CB,Right,1,4,2,High,Medium,70,29,67,72,81,76,53,22,74,80,21,72,45,20,79,76,68,71,63,80,55,50,79,75,76,25,78,83,39,68,24,80,82,82,79,8,11,12,5,6,58,61,61,61,61,61,67,68,73,68,77,81,77,78,81,78,18
J. Bijlow,Justin Bijlow,24,188,76,Netherlands,79,GK,Right,2,2,1,Medium,Medium,82,75,78,80,58,76,10,10,11,33,10,11,10,10,44,21,58,58,56,77,32,59,67,30,70,10,22,10,10,58,16,54,16,12,14,82,75,78,76,80,32,29,31,31,31,29,35,33,35,33,28,32,28,28,28,28,80
S. Mandanda,Steve Mandanda,37,185,82,France,79,GK,Right,3,2,1,Medium,Medium,77,79,74,81,49,77,14,13,13,60,13,19,13,12,36,27,53,43,52,80,36,56,69,31,61,7,37,23,11,59,11,62,13,15,13,77,79,74,77,81,35,33,35,35,35,33,42,38,42,38,34,39,34,33,33,33,79
J. Evans,Jonny Evans,34,188,77,Northern Ireland,79,CB,Right,2,4,2,Medium,High,50,32,60,58,82,76,52,28,80,72,46,51,34,37,65,69,51,49,34,80,57,42,79,64,80,24,82,79,30,57,44,81,86,81,78,12,16,16,15,8,54,52,52,52,52,52,57,58,65,58,71,77,71,73,79,73,22
Joaquín,Joaquín Sánchez Rodríguez,40,179,75,Spain,79,"RM,LM",Right,2,3,4,High,Medium,66,78,85,79,44,53,86,78,65,85,68,81,86,77,84,80,62,69,69,82,69,80,31,34,63,76,55,35,81,85,75,81,41,47,39,9,14,6,10,11,78,79,79,79,79,79,79,79,77,79,62,63,62,59,55,59,21
D. Wass,Daniel Wass,33,181,74,Denmark,79,"CM,RM,RB",Right,2,3,3,Medium,Medium,73,77,80,76,75,75,79,75,69,81,69,76,78,84,80,79,71,74,72,79,71,84,67,83,73,80,72,77,76,78,61,77,75,76,75,11,9,10,13,13,78,77,77,77,77,77,79,79,79,79,79,79,79,79,77,79,21
Ó. Trejo,Óscar Trejo,34,180,79,Argentina,79,CAM,Right,1,4,3,High,Medium,68,76,78,82,71,77,73,75,66,81,72,84,74,72,76,78,66,69,91,77,79,76,66,88,75,79,70,72,75,80,80,76,70,74,71,14,14,7,16,11,77,77,77,77,77,77,79,79,79,79,77,78,77,76,74,76,22
A. Witsel,Axel Witsel,33,186,81,Belgium,79,"CDM,CM,CB",Right,3,4,3,Low,Medium,34,63,79,75,78,74,68,62,82,89,75,75,71,64,81,78,33,34,64,78,67,64,80,69,77,57,71,75,69,75,76,88,78,80,74,5,7,7,10,7,72,68,69,69,69,68,76,73,79,73,75,79,75,74,79,74,18
J. Hernández,Javier Hernández,34,175,73,Mexico,79,ST,Right,3,3,3,Medium,Low,72,77,64,76,31,68,64,83,78,66,75,73,67,52,56,78,77,67,74,87,79,75,83,71,68,66,59,26,89,68,68,81,21,31,25,14,12,9,12,11,79,75,77,77,77,75,77,76,70,76,57,55,57,55,50,55,23
Sergio Asenjo,Sergio Asenjo Andrés,33,189,87,Spain,79,GK,Right,2,3,1,Medium,Medium,80,77,78,78,57,77,24,14,13,39,15,15,23,22,39,14,59,54,62,78,58,59,73,39,73,13,20,22,12,46,15,64,24,15,14,80,77,78,77,78,33,30,31,31,31,30,34,35,35,35,33,34,33,33,32,33,79
A. Modeste,Anthony Modeste,34,187,84,France,79,ST,Right,2,4,3,Medium,Low,69,78,63,70,35,79,62,83,88,67,75,69,66,56,55,72,65,73,66,82,62,77,86,67,86,68,75,18,85,63,77,77,39,31,19,10,11,11,6,8,79,72,74,74,74,72,73,72,66,72,54,54,54,52,54,52,19
F. Muslera,Fernando Muslera,36,190,74,Uruguay,79,GK,Right,3,2,1,Medium,Medium,76,80,72,77,51,82,15,10,12,44,10,25,14,10,47,27,50,52,64,78,62,54,84,40,68,10,32,23,13,62,24,60,12,16,16,76,80,72,82,77,34,33,35,35,35,33,41,39,42,39,34,38,34,33,33,33,79
G. Buffon,Gianluigi Buffon,44,192,92,Italy,79,GK,Right,4,2,1,Medium,Medium,76,73,70,76,31,90,13,15,13,37,17,26,20,13,35,28,33,27,50,78,49,53,69,34,65,13,38,28,12,50,22,70,13,11,11,76,73,70,90,76,33,30,32,32,32,30,37,34,38,34,30,35,30,29,31,29,79
O. Wijndal,Owen Wijndal,22,176,65,Netherlands,79,LB,Left,2,2,3,High,High,84,53,76,78,73,74,77,48,60,80,61,76,76,44,74,80,85,84,82,78,80,65,56,85,68,49,78,74,72,77,42,75,73,76,74,8,12,6,9,13,70,74,73,73,73,74,77,79,78,79,80,79,80,79,75,79,20
Reinildo,Reinildo Isnard Mandava,28,180,73,Mozambique,79,"LB,CB",Left,1,3,3,Medium,High,80,54,66,74,78,78,72,55,76,74,51,73,67,35,57,76,76,84,76,75,70,58,81,82,75,46,80,75,70,60,42,69,76,81,78,6,8,13,15,7,70,71,69,69,69,71,71,74,71,74,79,76,79,79,79,79,18
Fran Beltrán,Francisco José Beltrán Peinado,23,165,64,Spain,79,"CDM,CM",Right,1,3,3,Medium,High,60,56,77,77,77,65,72,53,60,84,55,78,54,55,82,77,62,58,77,75,78,61,57,67,63,60,68,78,63,79,49,66,77,81,80,14,11,8,13,9,67,71,70,70,70,71,76,74,79,74,77,80,77,76,76,76,21
C. Ünder,Cengiz Ünder,24,173,66,Turkey,79,"RW,RM",Left,1,4,4,Medium,Medium,78,77,75,80,38,52,81,77,63,74,70,80,83,68,65,82,82,75,82,78,80,78,42,72,49,80,37,29,75,76,73,68,43,33,30,9,13,7,9,8,77,79,78,78,78,79,79,79,73,79,63,57,63,59,48,59,19
Lucas Veríssimo,Lucas Veríssimo da Silva,26,191,86,Brazil,79,CB,Right,1,2,2,High,High,81,39,58,63,80,81,35,30,81,73,28,59,31,32,72,69,80,82,57,78,56,59,81,74,82,45,85,81,25,56,44,73,81,78,77,6,15,15,12,10,59,57,58,58,58,57,62,62,67,62,73,78,73,76,81,76,20
T. Ndombele,Tanguy Ndombele,25,181,76,France,79,"CM,CDM,CAM",Right,1,3,4,Low,Low,66,71,79,86,68,68,73,68,56,84,62,88,74,59,79,86,68,64,81,77,86,79,58,52,75,74,73,69,70,84,58,86,67,72,69,8,10,13,8,7,75,78,78,78,78,78,82,79,81,79,74,77,74,72,72,72,18
S. Özcan,Salih Özcan,24,180,76,Turkey,79,"CDM,CM",Right,1,3,3,Medium,High,77,62,72,77,76,81,62,66,72,78,51,77,59,53,76,76,78,76,78,76,84,65,74,83,80,53,84,81,68,74,57,76,75,76,74,13,7,9,9,11,73,73,73,73,73,73,76,76,77,76,78,80,78,78,79,78,19
M. Lazzari,Manuel Lazzari,28,174,67,Italy,79,RB,Right,2,3,3,High,Low,92,62,76,82,70,65,83,67,44,78,59,82,68,58,75,81,93,91,89,78,89,53,39,86,56,57,66,73,74,74,55,76,72,75,69,14,6,11,5,11,71,79,76,76,76,79,79,79,79,79,79,77,79,79,70,79,19
H. Aouar,Houssem Aouar,24,175,70,France,79,"CAM,LM,CM",Right,2,3,4,High,Low,71,70,78,83,64,68,69,69,59,82,68,84,80,72,78,85,72,71,82,76,81,69,65,72,66,71,68,68,74,82,74,80,66,64,58,14,6,11,7,10,75,77,77,77,77,77,81,79,80,79,73,75,73,71,69,71,19
J. Brekalo,Josip Brekalo,24,175,70,Croatia,79,"CF,LM",Right,2,4,4,High,Low,81,76,76,84,38,55,77,76,45,78,70,84,80,77,73,84,84,79,87,76,83,79,63,72,52,78,41,30,79,74,64,77,35,42,40,9,7,5,6,14,76,80,79,79,79,80,81,81,75,81,64,60,64,60,49,60,18
Diogo Costa,Diogo Meireles Costa,22,188,84,Portugal,79,GK,Right,1,2,1,Medium,Medium,76,75,73,83,32,78,13,6,11,28,8,18,10,10,29,25,30,36,34,77,35,55,53,23,63,9,23,18,18,49,14,44,19,13,11,76,75,73,78,83,30,26,29,29,29,26,32,30,32,30,27,30,27,26,28,26,80
E. Reynoso,Emanuel Reynoso,26,176,67,Argentina,79,"CAM,LM",Left,1,3,4,Medium,Low,67,67,78,80,59,67,71,65,59,81,48,81,73,77,77,80,77,59,84,78,73,70,62,71,64,71,71,60,83,83,61,80,62,57,54,7,11,9,5,9,74,77,77,77,77,77,80,79,79,79,70,72,70,68,65,68,18
Marcão,Marcos Nascimento Teixeira,26,185,81,Brazil,79,CB,Left,1,3,2,High,High,67,36,60,70,78,86,35,31,70,75,34,69,56,34,72,74,65,68,63,78,62,52,86,89,84,29,89,79,25,58,52,76,80,78,76,8,8,8,10,5,57,57,58,58,58,57,63,64,70,64,74,79,74,75,81,75,17
D. Henderson,Dean Henderson,25,188,85,England,79,GK,Right,2,3,1,Medium,Medium,80,78,77,82,55,75,14,9,13,45,5,13,13,10,48,35,55,56,61,77,56,58,68,32,64,6,35,11,8,55,16,60,15,14,14,80,78,77,75,82,33,32,33,33,33,32,39,36,39,36,31,36,31,31,30,31,80
T. Tomiyasu,Takehiro Tomiyasu,23,188,84,Japan,79,RB,Right,1,5,2,Medium,High,74,33,67,71,80,79,65,29,74,75,30,69,48,37,70,75,76,72,69,78,70,42,70,80,80,28,78,78,58,63,37,72,81,82,79,9,14,6,5,11,61,64,63,63,63,64,67,70,72,70,78,79,78,79,80,79,19
L. Jović,Luka Jović,24,182,85,Serbia,79,ST,Right,1,5,3,Medium,Medium,74,78,68,78,29,74,67,79,79,72,83,78,77,56,61,80,72,76,75,80,78,82,76,74,78,75,62,23,81,70,66,78,25,26,16,8,7,12,9,13,81,76,78,78,78,76,77,77,71,77,56,55,56,53,49,53,19
Pau López,Pau López Sabata,27,189,77,Spain,79,GK,Left,1,3,1,Medium,Medium,80,79,77,81,48,81,24,19,15,63,17,18,23,21,55,43,45,52,40,63,57,58,71,42,52,18,39,16,20,68,25,62,19,20,11,80,79,77,81,81,37,37,39,39,39,37,46,43,48,43,36,41,36,34,32,34,80
R. Tapia,Renato Tapia,26,185,80,Peru,79,"CDM,CM",Right,1,4,3,Medium,High,68,66,71,69,79,84,65,62,73,78,64,66,65,54,75,71,69,67,66,73,77,78,76,86,86,60,79,77,68,69,68,70,76,84,80,16,14,7,15,8,72,68,69,69,69,68,72,72,75,72,77,80,77,78,80,78,22
L. de Jong,Luuk de Jong,31,189,86,Netherlands,79,ST,Right,3,5,3,Medium,Medium,48,78,71,70,46,77,66,79,93,79,83,68,63,69,62,79,42,52,52,75,56,83,90,71,87,71,54,40,83,69,67,76,39,43,37,16,10,8,8,11,79,70,74,74,74,70,75,73,73,73,61,63,61,59,61,59,21
João Pedro,João Pedro G. Santos Galvão,30,184,73,Italy,79,ST,Right,1,4,4,High,Medium,81,78,77,80,41,75,69,81,73,81,77,81,80,76,74,83,75,85,72,81,73,77,87,87,71,73,69,42,82,80,69,81,30,44,28,14,16,7,11,12,79,79,79,79,79,79,79,79,79,79,65,65,65,62,57,62,22
K. Bellarabi,Karim Bellarabi,32,184,79,Germany,79,"RM,RW",Right,2,3,4,High,Medium,86,75,72,81,39,72,78,74,51,72,73,83,72,58,62,81,85,87,78,77,78,82,75,69,71,77,75,43,75,75,57,80,39,33,35,10,12,7,11,10,77,79,78,78,78,79,79,79,72,79,64,61,64,61,54,61,20
J. Tarkowski,James Tarkowski,29,188,81,England,79,CB,Right,1,4,2,Low,High,55,45,65,62,81,80,59,40,82,67,40,60,54,53,73,65,49,60,55,78,53,63,85,67,84,38,83,80,43,65,52,78,81,81,79,14,8,12,9,7,61,57,58,58,58,57,62,63,68,63,72,77,72,74,79,74,19
Suso,Jesús Joaquín Fernández Sáez,28,176,70,Spain,79,RW,Left,2,3,4,High,Low,73,76,80,83,32,51,80,72,50,81,72,84,87,81,75,85,75,72,79,78,82,78,44,66,50,84,38,20,75,82,72,77,48,23,18,15,15,9,8,9,75,79,79,79,79,79,79,79,76,79,60,57,60,54,44,54,21
J. Draxler,Julian Draxler,28,187,77,Germany,79,"LW,CAM",Right,3,5,4,Medium,Medium,72,76,80,82,58,65,79,74,64,81,77,83,77,76,77,84,74,70,79,78,73,80,76,66,66,78,56,66,78,81,65,82,48,64,44,11,13,5,13,8,79,79,79,79,79,79,79,79,79,79,72,72,72,69,65,69,21
C. Coady,Conor Coady,29,186,80,England,79,CB,Right,1,3,2,Low,High,47,57,75,66,79,73,67,51,77,81,56,60,60,57,85,79,41,51,48,79,54,68,84,73,74,60,66,79,51,72,60,80,80,80,74,8,15,10,12,8,66,63,65,65,65,63,69,68,77,68,75,79,75,75,79,75,20
Felipe Anderson,Felipe Anderson Pereira Gomes,29,175,70,Brazil,79,RW,Right,3,4,4,High,High,85,75,77,83,55,63,76,73,44,77,72,85,77,69,75,81,85,85,84,75,88,82,34,73,59,77,67,69,74,79,53,81,47,59,46,12,10,9,5,7,77,79,78,78,78,79,79,79,79,79,73,71,73,70,62,70,19
J. Veretout,Jordan Veretout,29,177,67,France,79,"CDM,CM",Right,2,3,3,Medium,Medium,76,75,76,78,76,79,69,70,59,81,72,77,69,71,77,81,78,75,77,76,81,83,74,78,79,77,82,76,74,74,80,78,77,79,77,9,10,11,8,9,77,76,76,76,76,76,79,78,79,78,79,79,79,78,78,78,18
Ismaily,Ismaily Gonçalves dos S.,32,177,82,Brazil,79,LB,Left,2,2,4,High,Medium,82,64,74,80,74,74,80,60,58,81,55,81,65,50,67,81,84,80,72,79,82,75,63,84,75,65,62,79,82,71,51,79,75,74,72,8,8,14,11,10,75,77,77,77,77,77,79,79,78,79,79,78,79,79,75,79,19
A. Marchesín,Agustín Marchesín,34,188,85,Argentina,79,GK,Right,1,3,1,Medium,Medium,80,77,76,80,54,79,18,14,11,37,15,24,16,15,34,20,55,52,65,75,60,57,73,38,59,12,45,15,18,65,14,64,22,15,15,80,77,76,79,80,34,33,34,34,34,33,39,37,37,37,32,34,32,31,31,31,79
L. Dunk,Lewis Dunk,30,192,88,England,79,CB,Right,1,3,2,Medium,High,44,51,62,63,80,79,32,42,81,77,24,63,52,69,75,70,34,52,38,82,38,72,74,66,84,67,82,80,30,58,36,79,83,79,76,15,16,9,12,6,61,55,59,59,59,55,63,59,70,59,69,79,69,71,79,71,22
M. Sels,Matz Sels,30,190,88,Belgium,79,GK,Right,2,2,1,Medium,Medium,77,78,75,80,36,80,16,16,14,38,19,19,17,17,32,33,37,35,36,78,34,56,70,26,67,18,29,17,18,49,22,62,14,15,14,77,78,75,80,80,34,31,33,33,33,31,36,34,36,34,29,33,29,28,30,28,80
G. Xhaka,Granit Xhaka,29,185,82,Switzerland,79,"CDM,CM",Left,3,2,3,Low,Medium,49,64,79,69,69,80,71,50,62,84,50,66,76,77,84,80,48,50,49,73,61,90,33,82,79,75,91,71,62,77,63,67,71,68,68,7,8,11,7,13,70,67,69,69,69,67,74,73,79,73,74,79,74,73,74,73,19
M. Riemann,Manuel Riemann,33,186,83,Germany,79,GK,Right,1,5,1,Medium,Medium,78,74,85,82,52,78,17,12,15,59,13,30,15,14,65,47,57,45,49,71,64,64,70,43,65,18,38,32,13,69,34,67,30,14,19,78,74,85,78,82,38,39,41,41,41,39,48,44,50,44,39,46,39,37,37,37,79
