,reviews
10,"✅ Trip Verified |   As a regular work-related traveler, the most important thing for me is time when flying - speed at check-ins and flights departing and arriving on time as scheduled. I have been using Qatar Airways for a few years for all my international travel, and I can plan with confidence my onward travel, meetings etc. The onboarding process is seamless, and the ground staff are knowledgeable, friendly, and helpful. During flights, the same level of professionalism can be expected, and there are no surprises. I fly the same long-distance route approximately every four weeks, and the experience remains consistent. The food is usually excellent, but on my last trip a few days ago, the Doha-Amman leg, the dinner was exceptional, serving dishes that you do not usually see on flights (to clarify - I flew business class). Thank you, Qatar Airways. It remains a pleasure flying with you."
11,"Not Verified | My flight from Perth to Heathrow was cancelled at the last minute whilst we were in the departure lounge at midnight. The flight was on July 13th 2024 from Perth Western Australia, due to land at Heathrow Airport London on Sunday afternoon 14th July. Eventually I arrived at Heathrow on Tuesday 16th July at 06:00. I was told that all additional expenses would be refunded. Well, seven months later I am still trying to get a refund. They eventually offered me $250.00 voucher that could only be used with Qatar Airways valid for one year. I declined this offer as the two-night accommodation with meals in Perth city center and vouchers for taxis that I declined as my son was prepared to drive an hour to pick me up at 02:00 in the morning would have cost far more than the voucher they were offering. I was £108.00 out of pocket for my pre-purchased train tickets booked for Sunday 14th and I lost two days of work. Whilst waiting for information on when my newly arranged flight would be leaving, they could not even be bothered to contact me. After an abortive trip to the airport after we found online my boarding pass which had been changed telling me my flight was now at 03:30 Monday morning and a call to Qatar Airlines who told me they did not know, arrived at airport to find out that there was no flight. Their response was oh your contact details is a UK mobile number! As if that made any difference in these circumstances. Eventually after giving the Qatar helpdesk my sons contact details; they informed me they had found a flight from Perth to Doha then to Athens and then finally Heathrow. Then another which was Perth to Doha to Milan to Heathrow. On arrival they told me they had a flight from Perth to Doha and then onto Heathrow. This had a six-hour stopover in Doha. Eventually I arrived home after a nightmare journey at 06:00 on Tuesday morning during rush hour in London. Just the two days late. Despite constant contact with Qatar customer services they just kept telling me that this was their policy and that was the end of the issue. When you do get through you spend another hour telling them that they have all the details. But no, they want to go through it all again. I still have not heard from them for five weeks."
12,"✅ Trip Verified |   QR 719 from DOH to SEA on 3/21/25. The cabin was unbearably cold, I pushed the call button to request assistance, but no flight attendant responded for over an hour and when someone finally did, they offered no help other than handing me another blanket. This was one of the worst experiences I’ve had. I will be reconsidering future travel with this airline unless they take meaningful steps to improve comfort and responsiveness to passengers."
13,"✅ Trip | Since 2023, I have consistently avoided flying Qatar Airways because of my sub-par experience in Economy Class. There are only 2 options to Maputo either Qatar Airways or Ethiopian and I decided to go with Qatar. Mumbai to Qatar leg is operated by Indigo which has no IFE and on a 3.5 hour flight, you get a sandwich and a small juice with some crackers and really uncomfortable seats (I admit that was my mistake since I did not check thoroughly).  Boarding for the flight to Maputo was chaos by a disorganised gate agent. After departure they served a sandwich, due to the tight connection time, I did not have any time to pick up snacks at the airport. I ended up seated next to a plus sized lady with a rather fussy infant, who had a middle seat. Later, I saw there were quite a few empty seats and they could have just let me move and allowed both of us a bit of comfort, but by the time the seat belt signs were off, others had already spread out and fallen asleep in those seats. The main meal was served 1.5 hours before arrival in Maputo and while the taste was good it was inadequate. My IFE stopped working 5 hours or so into the flight. "
14,"✅ Trip Verified I decided to opt for an extra legroom seat up in Economy but the website nor app was allowing me to book the seat or make a payment. I reached out to customer care on email but the agent said that I can book the seat during check-in so to ensure this, I woke up at midnight but the transaction did not go through, the second agent was also equally unhelpful and recommended waiting couple more hours. I stayed awake and tried again but no luck, the third agent then told me that this can be done only before check-in and tried to fob me off with an apology to settle for a seat at airport check-in. Finally the third agent was able to help and I got a good extra legroom seat and thankfully the rest of the journey from Maputo to Doha was great, except for the food quantity which is really not adequate for me. The entertainment selection was not the best but overall this leg was quite comfortable. The crew on-ground and in-air were quite good. The Doha to Bombay leg was less comfortable given that this leg is operated by Indigo. The Indigo service is not up to expectations, there is no IFE, the food offered was a tasteless sandwich and some chips. If you are booking on Qatar Airways to/from India check that the leg from Doha to Qatar is operated by Qatar Airways and not Indigo. I have nothing against Indigo and am perfectly happy to fly them for short domestic flights in India but anything longer than a hour and half with them makes for an uncomfortable flight."
15,"✅ Trip Verified |   Another great flight. Very consistent service, consistent quality of food and comfortable aircraft. The service on the flight was just spot on. I would recommend them based on how consistent they are."
16,"✅ Trip Verified |   Amazing from beginning to end. Amazing service, food and cabin. The variety and the quality of the food is mind blowing. The service was spot on and attentive. The seat was comfortable and private."
17,"✅ Trip Verified |   This flight was just the dream! 14hrs of first class service with top quality crew, amazing food, great Q Suite. The flight was so smooth, and pleasant, the hospitality was amazing."
18,"✅ Trip Verified |   Dammam with a stop in Doha en route to Boston they ruined a checked roller bag of mine. 3 months later, I have yet to get any resolution. They have delayed repeatedly, sending me in an endless circle of unresponsive bureaucracy. I have lost respect for what was once my favorite airline."
19,"✅ Trip Verified |   Checkin, security and immigration at DXB airport swift, lounge with good a la carte options and friendly service. Boarding well organized. Delayed by 45 minutes due to bad weather. Flight uneventful. Despite delayed arrival, remote stand with bus transfer. It took me 50 minutes from arrival at remote stand till arrival at the terminal.  My plan to have a nice breakfast at the lounge was shattered. I had just a 10 minutes at the Platinum/Gold lounge, but left because there was no seat available, no clean cup to make a coffee, and long toilet queues. My flight to Bangkok was a remote stand bus gate. Boarding was poorly organized, as Business class and status guests were asked to wait till Economy has done boarding; the gate agent changed his mind and let C Class and status guests on the bus after 2 bus loads of Y class passengers had gone. It was rather chaotic. The flight on a leased CX aircraft was on time and uneventful. The IFE screens in the bulkhead rows of my section were broken, but large IPads were offered as a replacement, which was great. My food was mediocre. The flights were ok, but the chaotic transfer at Hamad airport left a bitter aftertaste."
20,"✅ Trip Verified |   First leg was in Economy, 2nd in First. Check in at BKK airport fast and friendly. Contract lounge at the new Satellite terminal large, but limited western breakfast options. Boarding started 30 minutes late and another 15 minutes wait at the air bridge. Service was good with slightly improved F&B offerings. I was lucky to be on an aircraft with their upgraded WIFI services which worked real well. 3-4-3  configuration with rather hard seats. Transfer in Doha was good with a stay at the Al Safwa F lounge. Food was good. My final leg to Dubai was changed from a Qsuite to a 2-2-2 configuration. After many back and forth, they were willing to change to another Qsuite flight 30 minutes later. The flight was pleasant and uneventful. "
21,✅ Trip Verified |   Qatar Airways changed the aircraft and did not notify us. We entered the Boeing 777 cabin to find that we had Paid for a Mercedes and would be flying in a Mini-Cooper. I didn't know airplanes with this drastically old configuration were still even in service. TIt was a miserable experience and we are changing our refundable return tickets to another airline. I won't be spending any money on Qatar Airways in the future!
22,"✅ Trip Verified |   On my way to Doha, it was amazing, flight attendants were very helpful and attentive. Doha to Colombo was delayed and after take off asked for a drink which I was told would be served in about 10 minutes, it took more than an hour for cabin crew to star serving drinks and food. After the service they never came back to ask if anything else was needed. "
23,"✅ Trip Verified |   Both flights were excellent. Kind and professional staff on both flights, good food options (like that I can chose when to eat), comfortable flights. Due to distances at Doha airport, I appreciated that one of the small cart drivers offered his services to take me as close as possible to the train, connecting me to the center of the main terminal."
24,"✅ Trip Verified |   I have been a frequent traveller throughout my nearly 60 years as an air passenger. In all that time, I have never encountered such an unprecedented level of discourtesy as I did with the security staff at the Qatar Airways gate. at Doha. My husband and I had already smoothly passed through two transit security checks with Qatar Airways on our return journey from New Zealand. As we tried to board Business Class, I was surprised to be pulled over again for another bag check. The treatment I received was rude and demeaning. Everything in my rucksack was unpacked, which was then swabbed inside and out. I was manually body searched in front of everybody and my clothes, shoes and even hair was swabbed. This took place for a prolonged period of time in front of every other passenger that filed past - the flight had been called. When I subsequently touched one of the items in the second tray of my belongings (to open the zip to demonstrate there were only documents inside) the lady raised her voice, ordering me to stand back and not to handle any of my possessions. I tried to explain I was only trying to help but was met with more incivility. I would add that my husband, who was stood with me, had to witness this affront without any recourse to offer his assistance. When I was finally allowed to leave - the lady having found nothing of any suspicion - I felt utterly humiliated. This awful experience with Qatar Airways was only saved by the helpful and impeccable service of a wonderfully professional air steward on board called Eugenia - thank you kind lady. Her humanity and warmth restored my equilibrium. However the overall experience of our return journey was that, with the exception of Eugenia, the customer service is appalling. . I understand security is important but there was no need for my encounter to be as intimidating, embarrassing and uncivil as it was."
25,"Not Verified | The food was really good, but the items listed on the menu, such as coconut cheesecake and stir-fried noodles, were unavailable. The seats were small but had amazing sleep amenities. The amenities kit was excellent. I requested an Asian vegetarian meal, which was very good, but it would have been better if there was naan or roti. The food quantity needs improvement. The legroom was good but could be better. This was my first time flying with Qatar Airways, and I would fly with them again."
26,"Not Verified | So this was my first time on a 787-8. The seats are different on this plane compared to the Airbus A350. The 787-8 was really good, but I didn’t like the way the headrests were. The legroom was kinda tight with not much space, and I didn’t get a window seat—I got a middle row seat instead. But the flight was amazing. That mango juice is too good, omg! The food was great as well. There was palak paneer, but there was no paneer, only corn.

"
27,"✅ Trip Verified | Doha to Copenhagen in Business Class on an A350-900. This aircraft featured the renowned Qsuite configuration - an epitome of comfort and privacy. Qatar Airways’ onboard service was nothing short of world-class, delivering excellence at every touchpoint. Both the hard and soft product were executed to perfection, setting a standard that is unmatched in commercial aviation."
28,"✅ Trip Verified | Goa (GOX) to Doha in Business Class on a 787-8 The seating on this aircraft was of the older configuration, yet exceptionally comfortable. Service, as expected, was impeccable - flawless execution in line with Qatar Airways’ consistently high standards. Upon arrival in Doha, disembarkation was via stairs rather than an aerobridge. This is where Qatar Airways truly excels: the moment the first batch of Business Class passengers boarded the transfer bus, there was no unnecessary delay. Rather than waiting for it to fill up, the bus departed within minutes - a hallmark of true premium service."
29,"✅ Trip Verified |   Very excited to fly again on an A380, my favorite aircraft. Check-in was nice and friendly, loved the lounge and staff there too! While the male crew were nice and looked happy, the female staff were mostly sour. Did not appreciate when the crew put my meal on my tray while I was at the bar. When I returned, the food was stone cold. I discussed that with the excellent purser. After that, the staff were sickly sweet. I decided to spend most of the time at the bar. Shame, but the next flight on Qatar was again excellent. "
30,"✅ Trip Verified | All that Glitters is not Gold On board their aircraft, Qatar Airways aim to present a spotless and glamorous experience. But sadly the mask is slipping badly. The 3-4-3 configuration on their 777 fleet has rightly been described as a crime against humanity. My real complaint with the company comes however behind the scenes. If you EVER have to deal with customer services they are obstructive and unhelpful. I paid over £1000 for an Economy Convenience multi-city ticket with some inbuilt ticket flexibility. I wanted, and indeed needed for medical reasons, a 2 hour stop in Doha. I have to administer medication which it is not possible to do on board. It could, indeed, endanger other pax to do it on the aircraft rather than in the airport. So I was pretty miffed when Qatar changed their schedules and cut my connection time down to 1h20 and then refused to listen to me about it. They COULD have agreed to put me on the flight taking off 5 minutes before my original booking to keep my 2 hour layover intact, which was the same price, but they have refused to do this. This isn’t the first time I have bumped up against their intransigence and arrogance and, to be frank, I don’t think I shall ever fly with Qatar again. I would strongly warn you to be very very careful about using them. "
31,"Not Verified | I recently had the opportunity to fly to Prague with Qatar Airways, and I would like to commend the exceptional service and attention I received throughout my journey. I would like to specifically acknowledge Uttam and Wan, who went above and beyond to assist me in retrieving my phone that had fallen between my seat after the flight had already landed. I had to wait for an engineer to come on board, but they were on the floor with various tools trying to reach my phone. I am extremely grateful for their efforts. This is a prime example of going the extra mile, and I hope they receive the recognition they deserve. Please continue to uphold your excellent service standards."
32,"✅ Trip Verified | Had a pleasant experience with Qatar Airways. The sector from KUL to DOH was not perfect. The plane used was old and with a 2-2-2 business class configuration. Less privacy and lack of storage space. The crew made up to the deficit. Lobster meal was very good. The next sector from DOH to IAH was perfect. Business class passengers were given much priority. The in-flight supervisor came to introduce herself to each and every business class passenger. The cabin crew worked tirelessly to serve every request. Wonderful. Qsuites business class is simply amazing. I managed to catch 8 hours of sleep all together. The quality of the food served was top-notched. I tried purchasing the WiFi service but not successful though. Overall, very good quality of production and service. Only grudge is probably the price. It was much higher than any other airlines."
33,"Not Verified |  Cabin crew were attentive and approachable. Very clean cabin and toilet. Modern in flight entertainment, easy to use and quick response. I was impressed when the Cabin Crew In Charge or Purser came and introduced himself. I enjoyed travelling with their widebody aircraft although on a flight which is less than 5 hours."
34,"✅ Trip Verified | I recently flew with Qatar Airways from Doha to Amman on QR404, dated January 26th, and I must say, it was an outstanding experience! The check-in process was seamless, and the staff were friendly and efficient. The aircraft was modern and clean, with comfortable seating and ample legroom. The inflight entertainment system was impressive, offering a vast selection of movies, TV shows, and music. The food was delicious, with a variety of options to suit different tastes. What truly impressed me, however, was the exceptional service provided by the cabin crew. They were attentive, courteous, and went above and beyond to ensure that all passengers had a comfortable and enjoyable flight. Overall, I would highly recommend Qatar Airways to anyone looking for a top-notch flying experience. Keep up the fantastic work!"
35,"✅ Trip Verified |   I fly often with Qatar. Over 10 times per year, and the service is always so good. Very nice staff both at ground and at Cabin. I usually fly Economy and rarely get upgraded or I more often use points to upgrade my self. But still on long flights from Europe to Asia over Doha on Economy is a great experience."
36,"✅ Trip Verified |   My recent flight from Calicut to Hamad Airport on January 25th, 2025, was generally uneventful, but had several areas where I believe Qatar Airways could improve the passenger experience. Firstly, the check-in process at Calicut Airport was extremely slow, despite having completed online check-in beforehand. The cabin temperature remained uncomfortably warm throughout most of the flight. The quality of the in-flight meals, while tasty, was somewhat diminished by smaller portions. My breakfast croissant was completely flattened. The seats felt less spacious and harder than I'm accustomed to. Finally, I was disappointed by the limited selection of movies available on Oryx One."
37,"✅ Trip Verified |   Doha to Goa (Mopa Airport) in Business Class on Qatar Airways. This short flight, lasting just under three hours, featured Qatar Airways' non-Qsuite Business Class seats. Despite the absence of Qsuite, the experience was supremely comfortable, as is expected. The onboard service was warm and attentive, complemented by their signature on-demand meal offerings. The seamless blend of comfort, service, and sophistication once again highlights why Qatar Airways’ Business Class consistently ranks at or near the top."
38,"✅ Trip Verified |   Copenhagen to Doha on Qatar Airways in Business Class in Dreamliner 787-9. This aircraft features Qatar Airways’ standard non-Qsuite Business Class seating configuration. Despite the absence of the Qsuite, the seats are exceptionally comfortable, ensuring a luxurious experience. The inflight service was flawless, showcasing their hallmark on-demand meal service. I was particularly impressed by the noticeable upgrade in meal quality. The vegetarian option was thoughtfully prepared, with a refreshing lightness compared to the heavier, oilier meals of previous years. Overall, this was an outstandingly comfortable flight that lives up to Qatar Airways’ reputation for delivering the finest Business Class experience in the skies."
39,"✅ Trip Verified | Qatar Airways, economy class, Doha to Paris CDG, B777, 09 September 2024. As always with Qatar Airways, crew are genuinely welcoming and helpful, both on the ground and onboard. I was able to access the Silver Lounge in Doha. Again, crew (mostly from Qatar / Middle East) very welcoming. Food and drinks (including wine) of good quality. Boarding swift. Crew always ready to help. Food, drinks, movies onboard all fine. Qatar Airways still has a miles-based Frequent flyer system (contrary to other airlines within One World Alliance that now have a money-based system) - and this is really appreciated. Last, but not least, i however prefer to fly Airbus (A330 A359 A380) rather than its competitor. Will choose Airbus aircraft within One World Alliance whenever possible, on any given route."
40,"✅ Trip Verified | I have never felt the need to give Qatar a negative review before. I am a Silver member, and travel exclusively Qatar Airways, and have done for many years but I will start looking at alternatives. My complaints were purely to in respect to the food and the food service. On this occasion it was so bad on both legs of my flight it did really spoil the experience. The plane was lovely, entertainment options good and seating comfortable. I will start with the food service, as a silver member you get a hostess visiting you at the start of the flight and ask you what you would like to eat come meal service, then to be told when the service arrives that that choice has run out. I normally sit with my wife in the central section and I have never fully understood why the food service is not synchronised to start at exactly the same rows on both sides of the plane.  I was in seat D and my wife in seat E, the hostess served my meal and moved on. I asked politely if my wife could have her meal and was informed that he was not doing the E seats only the D seat and she would have to wait till the other server arrived, who was about 15 rows forward and nowhere near our seats. I explained that we like to enjoy our wine and meal together at the same time, and that we were silver members and that someone had already taken our orders. He said he was allocated only to the D seats and could not do anything about it. I had finished my meal and had my tray cleared away and was served coffee, my wife still had not recived her meal, or a drink. It was some 45 minutes after I finished my meal that my wife required her meal and this was very disappointing and could have been resolved with flexibility by the staff. Now for the food Choices that  consisted of rice with  beef, or a chicken sausage wth frittata, and the 3rd which was pasta with a sauce.  "
41,"✅ Trip Verified |   Overall the flight with Qatar Airways itself was great, but the flight with one of its partner Malaysia Airlines to KUL is just terrible. For the Munich to Doha route, usually it is flown by the Boeing 787 or A350-900 which does not have QSuite, but on the day of my travel, we got the 777 with QSuite which was a huge upgrade from these types of planes that usually operate this route. Food was great, Staff was great, Entertainment was Good, WIFI is free for Privilege Club Member up to 1 hour. Arrived in Doha and we enjoy their Al Mourjan Business Lounge located at The Garden. Then we continue to Kuala Lumpur with Malaysia Airlines and the food was terrible, entertainment was very limited, WIFI was slow and staff was not so great. Qatar Airways needs to stop handing over their flights to their partners like MH and continue to operate their own daily flights instead. "
42,"✅ Trip Verified |   We had a pretty disappointing flight. As we boarded in Barcelona, ​​I noticed that the flight attendants didn't seem particularly friendly. The plane was old, my partner's screen didn't work, and the seat in front of me was difficult to recline. Service on the night flight didn't start until 1.5 hours after takeoff, which pretty much ruined our night. The quality of the food has been better before, there were no refills of drinks and no coffee before landing let alone breakfast. We are very disappointed this time and hope that it was just a bad exception and that Qatar will maintain its level in 2025. "
43,"I✅ Trip Verified |    flew with Qatar Airways for a round trip between Paris CDG and Manila, with a layover in Doha. The overall experience was outstanding, both on the outbound and return journeys. The layovers were perfectly coordinated: around 2 hours on the outbound flight and less than an hour on the return. Despite their short duration, everything was handled smoothly and efficiently, without any stress. Onboard, the service was impeccable, with an attentive and professional crew. The food served was of high quality, and the seats were exceptionally comfortable, even on a long-haul flight. I highly recommend Qatar Airways for its seamless organization, exceptional service, and commitment to passenger comfort"
44,"✅ Trip Verified | Qatar Airways is the absolute best airline ever! The service from the time of checking in to disembarkation is extremely thorough and professional. On board, the cabin crew is more than just polite, they are warm and friendly. They engage in conversation with you about your trip as if they are genuinely interested in you enjoying your journey and they are happy that they get to be a part of the process. I also liked that you never have to repeat a request. They listen carefully and follow through even with things like ""Please wake me up 2 hours before we land"" and try their best to accommodate special requests. The team on board this particular flight was one of the best I have experienced. They worked in unison to deliver guest satisfaction. It felt like they actually liked each other and were happy. I want to specially mention Fares who was catering to my side of the cabin. He had a warm, engaging smile. He was attentive and professional. I enjoyed his mannerism and I noticed that he took time to make every single person in his aisle feel special. To conclude, the crew for other airlines are polite, yes, but on Qatar, I feel they are more than just robotic smiling. They choose people who naturally understand good service and treat everyone with equal importance."
45,"✅ Trip Verified | My flight was almost 4 hours late and I knew I was going to miss my transfer flight to Guangzhou. When I arrived to Doha I was really disappointed, that nothing was arranged for the missed flight. Instead many passengers were requested to wait in a hall for further arrangement. This was little bit weird, since the flight was delayed 3h and the flight itself took 7h. Why wasn't everything organized for the customers that you knew would miss their connecting flight? Two persons were assigned to help the customers, but that was one of the most confusing experiences I have ever had in an airport. Two guys running around like headless chickens, talking in a low voice and many people couldn’t hear what they say, stopping in middle of the way when some passer by stops them and ask for advice. I had to be alert all by myself, constantly checking when will my new connection flight can be arrangeme. It's either your system is lacking or those two guys are incompetent. One of the guys was also, not only incompetent, but arrogant. Telling customers that an accommadation is arranged in VIP-hotel, then a person ask what's the name of the hotel, he obnoxiously says he just stated the name of the hotel. Instead of clearing the confusion about the name of the hotel, he decides to belittle the tired and confused customer. When I finally got my connection flight ticket sorted and was ready to leave the airport he dragged me out the custom line after almost an hour waiting in the queue. Saying that they won't let out, because I have alcohol with me. He has to see some other arrangement for me. So I followed him, thinking that I wasn't allow to enter the city. In middle of the way he stops and starts to help other people, totally ignoring my existence. After helping others, he noticed me and said to me that my alcohol would be confiscated if I tried to get pass customs and he have to see if he could arrange for me to stay in a lounge room. Why didn't he fully tell me about my options first hand? I thought there were no options for me to leave the airport. It was almost morning. I haven't slept in almost 24hrs and he is suggesting me to stay in a lounge for rest of the time. There was over 20hrs until my next flight. I can’t stay in a lounge where there is no privacy. I refused his incompetent, useless help and wanted to get back to the customs. I demanded him to escort me there, because I didn’t want to queue again, but he refused and said he did his best to help me. Also I almost missed my next day connection flight, because the attendant told me I was arranged to 02.30 flight, but it was actually 1.30 flight. I had to run like crazy in the airport because I got there late and almost missed the flight."
46,"✅ Trip Verified |   As an emerald platinum member of Finnair Oneworld alliance, I was not recognized in any way: no welcome drink, no words of welcome.  On the HKG-Doha flight, which took 9 hours 30 minutes, I was served was a disgusting snack and a mediocre breakfast with coffee that tasted burnt. The cabin temperature was terribly cold and nothing was done to change things. The icing on the cake was the distant, even contemptuous attitude of the flight attendants to me. "
47,"✅ Trip Verified |   In my opinion the best airline in the world. From the moment we booked our tickets they contacted us several times to inform us even about secondary issues. The itinerary and stopover in Doha the best we could imagine. All 4 flights left right on time. The food was really good and delicious. The behaviour of the flight attendants was perfect, friendly and professional. Tickets prices were competitive. It was my first time flying with this company and it will be a real pleasure to fly with them again"
48,"Not Verified | Athens to Doha was good service but Doha to Tokyo was poor, attendant service very slow (Ath~Doh had 4 people serving economy meal at the same time, but Doha - Tokyo had 2 people serving my economy area). My meal quality was poor and amount of drinks as required. (Ath~Doh) offered drinks after meals and once during 3 hours flight and after meal, but Doha Tokyo offered drinks during the meals but not after meals, on request. Good seat quality and space."
49,"✅ Trip Verified |   Exceptional service, always kind and did their best to make you feel comfortable. Did not have a q suite and the seats may need be refreshed but did not matter when you get nice service good food drinks . I never felt discriminated as i often do because i am overweight, it may sound stupid but for me who travels a bit, that feeling is horrible. Thanks Qatar. Keep up the good job!!!"
50,"✅ Trip Verified |   As always superb experience! Perfect service, friendly and attentive cabin crew, clean and fresh cabin. Food excellent!"
51,"✅ Trip Verified |   As always superb experience! Perfect service, friendly and attentive cabin crew, clean and fresh cabin. Food excellent! And took me back to Air France in the 90s on long-haul flights, a lounge in the business class cabin. Excellent for stretching your legs, get a drink and mingle with other passengers. Splendid idea! But not free basic WiFi."
